0,1,departure,destination,distance,weighted_distance,log
"('91766', '91768')",2,91766,91768,3966.56222814,1983.28111407,5723.53965592
"('12094', '94538')",1,12094,94538,5383571.15705,5383571.15705,inf
"('17325', '84003')",1,17325,84003,3830938.67661,3830938.67661,inf
"('84738', '84765')",1,84738,84765,4039.32065767,4039.32065767,inf
"('77401', '90061')",1,77401,90061,2538725.97655,2538725.97655,inf
"('13205', '13215')",1,13205,13215,9069.70883754,9069.70883754,inf
"('21701', '89123')",1,21701,89123,4203218.10556,4203218.10556,inf
"('53051', '53168')",1,53051,53168,2642.79233736,2642.79233736,inf
"('85281', '85929')",1,85281,85929,223770.573125,223770.573125,inf
"('77345', '90806')",1,77345,90806,2562274.37762,2562274.37762,inf
"('27310', '33458')",1,27310,33458,177758.500164,177758.500164,inf
"('38863', '65714')",1,38863,65714,478260.444739,478260.444739,inf
"('84070', '93033')",1,84070,93033,860648.760088,860648.760088,inf
"('60630', '91010')",1,60630,91010,3356036.49828,3356036.49828,inf
"('35476', '93033')",1,35476,93033,3506661.15214,3506661.15214,inf
"('17325', '33605')",1,17325,33605,620704.756628,620704.756628,inf
"('13029', '33001')",1,13029,33001,653438.492303,653438.492303,inf
"('11747', '66030')",1,11747,66030,2394092.75528,2394092.75528,inf
"('76051', '78405')",1,76051,78405,83028.927709,83028.927709,inf
"('33705', '61201')",1,33705,61201,880321.327234,880321.327234,inf
"('43612', '92019')",1,43612,92019,3698920.85361,3698920.85361,inf
"('11691', '44052')",1,11691,44052,934554.227797,934554.227797,inf
"('60085', '92591')",1,60085,92591,3248407.13512,3248407.13512,inf
"('53546', '85258')",1,53546,85258,2550264.92567,2550264.92567,inf
"('46601', '46619')",1,46601,46619,11240.7830579,11240.7830579,inf
"('70818', '84043')",1,70818,84043,2317654.57331,2317654.57331,inf
"('75050', '78730')",1,75050,78730,98608.9158788,98608.9158788,inf
"('37772', '63026')",1,37772,63026,694071.683908,694071.683908,inf
"('32425', '91746')",1,32425,91746,3587042.21037,3587042.21037,inf
"('49428', '92210')",1,49428,92210,3386478.67292,3386478.67292,inf
"('11704', '27910')",1,11704,27910,423079.38193,423079.38193,inf
"('35244', '77063')",1,35244,77063,966721.586309,966721.586309,inf
"('11552', '15221')",1,11552,15221,690756.03066,690756.03066,inf
"('70816', '91745')",1,70816,91745,2996951.016,2996951.016,inf
"('33647', '46205')",1,33647,46205,437994.811717,437994.811717,inf
"('33178', '40831')",1,33178,40831,366912.709828,366912.709828,inf
"('75071', '76244')",1,75071,76244,72757.5887744,72757.5887744,inf
"('49221', '75217')",1,49221,75217,1398083.70077,1398083.70077,inf
"('98501', '98502')",2,98501,98502,17613.816804,8806.90840199,25412.3661542
"('77373', '77382')",1,77373,77382,18314.9580185,18314.9580185,inf
"('78666', '92503')",1,78666,92503,2168622.39279,2168622.39279,inf
"('27573', '27574')",1,27573,27574,12486.3795721,12486.3795721,inf
"('76901', '78216')",1,76901,78216,232773.517813,232773.517813,inf
"('33311', '85323')",1,33311,85323,3569117.25199,3569117.25199,inf
"('60016', '76051')",1,60016,76051,1018096.83411,1018096.83411,inf
"('33126', '91010')",1,33126,91010,4178629.80233,4178629.80233,inf
"('78249', '92831')",1,78249,92831,2148136.01105,2148136.01105,inf
"('23703', '23707')",1,23703,23707,3975.43125421,3975.43125421,inf
"('69357', '69361')",1,69357,69361,16922.1030728,16922.1030728,inf
"('30043', '49428')",1,30043,49428,220940.08992,220940.08992,inf
"('55379', '55429')",1,55379,55429,19402.9472973,19402.9472973,inf
"('43085', '66215')",1,43085,66215,1304350.14207,1304350.14207,inf
"('85258', '99208')",1,85258,99208,902774.072514,902774.072514,inf
"('41048', '76014')",1,41048,76014,1374500.21027,1374500.21027,inf
"('11204', '80237')",1,11204,80237,3437672.3585,3437672.3585,inf
"('17552', '25015')",1,17552,25015,555789.025729,555789.025729,inf
"('78750', '78759')",1,78750,78759,4618.90054884,4618.90054884,inf
"('11203', '25901')",1,11203,25901,801089.075218,801089.075218,inf
"('29526', '90301')",1,29526,90301,4382363.9771,4382363.9771,inf
"('10472', '83709')",1,10472,83709,4715660.39634,4715660.39634,inf
"('51501', '51503')",1,51501,51503,10447.753451,10447.753451,inf
"('92679', '92688')",1,92679,92688,1088.76152337,1088.76152337,inf
"('33015', '52730')",1,33015,52730,1112489.37613,1112489.37613,inf
"('83651', '83702')",1,83651,83702,51376.7989293,51376.7989293,inf
"('16801', '45219')",1,16801,45219,742317.018665,742317.018665,inf
"('21108', '39154')",1,21108,39154,1536750.1481,1536750.1481,inf
"('60616', '63080')",1,60616,63080,383669.757165,383669.757165,inf
"('62711', '91355')",1,62711,91355,3215080.83235,3215080.83235,inf
"('70065', '84043')",1,70065,84043,2404872.33431,2404872.33431,inf
"('46222', '46224')",1,46222,46224,4629.15850272,4629.15850272,inf
"('85258', '98682')",1,85258,98682,1322730.41877,1322730.41877,inf
"('23958', '91746')",1,23958,91746,4371356.84641,4371356.84641,inf
"('43085', '61571')",1,43085,61571,712150.37387,712150.37387,inf
"('98057', '98059')",2,98057,98059,12530.7454886,6265.37274429,18079.044375
"('60134', '60915')",1,60134,60915,53553.825721,53553.825721,inf
"('59923', '92504')",1,59923,92504,740456.653285,740456.653285,inf
"('20120', '85716')",1,20120,85716,3713154.69997,3713154.69997,inf
"('93030', '95125')",1,93030,95125,348859.961282,348859.961282,inf
"('14051', '14221')",1,14051,14221,2890.31750535,2890.31750535,inf
"('38382', '84043')",1,38382,84043,2545193.43601,2545193.43601,inf
"('36502', '55317')",1,36502,55317,668654.08438,668654.08438,inf
"('20121', '91311')",1,20121,91311,4571418.53245,4571418.53245,inf
"('19525', '52233')",1,19525,52233,1790366.97534,1790366.97534,inf
"('15944', '35124')",1,15944,35124,855962.665734,855962.665734,inf
"('44026', '60656')",1,44026,60656,723046.535196,723046.535196,inf
"('33020', '37690')",1,33020,37690,316381.255385,316381.255385,inf
"('11530', '91342')",1,11530,91342,4967886.65494,4967886.65494,inf
"('13029', '44601')",1,13029,44601,555655.074138,555655.074138,inf
"('92708', '99353')",1,92708,99353,689849.312633,689849.312633,inf
"('63304', '85258')",1,63304,85258,2360793.10991,2360793.10991,inf
"('30117', '30401')",1,30117,30401,309324.663296,309324.663296,inf
"('48089', '48212')",1,48089,48212,6998.32744819,6998.32744819,inf
"('32958', '33773')",1,32958,33773,251800.417031,251800.417031,inf
"('46545', '90301')",1,46545,90301,3578317.38176,3578317.38176,inf
"('12534', '12548')",1,12534,12548,42572.5045597,42572.5045597,inf
"('75013', '80226')",1,75013,80226,942495.412584,942495.412584,inf
"('12835', '19040')",1,12835,19040,153819.18672,153819.18672,inf
"('30341', '30354')",1,30341,30354,11108.9686036,11108.9686036,inf
"('98012', '98036')",1,98012,98036,9250.12999541,9250.12999541,inf
"('85296', '92880')",1,85296,92880,651897.586847,651897.586847,inf
"('34205', '91761')",1,34205,91761,3888563.15593,3888563.15593,inf
"('77707', '91709')",1,77707,91709,2621890.92376,2621890.92376,inf
"('10002', '84128')",1,10002,84128,4232141.13897,4232141.13897,inf
"('20657', '84043')",1,20657,84043,3939467.67442,3939467.67442,inf
"('85258', '99130')",1,85258,99130,851457.092691,851457.092691,inf
"('38128', '77047')",1,38128,77047,607105.070697,607105.070697,inf
"('85029', '85053')",3,85029,85053,2831.67010251,943.890034171,2578.49720417
"('30215', '70447')",1,30215,70447,639273.930167,639273.930167,inf
"('20785', '23124')",1,20785,23124,38740.1240021,38740.1240021,inf
"('10021', '90301')",1,10021,90301,4928599.34315,4928599.34315,inf
"('70420', '84043')",1,70420,84043,2437733.08155,2437733.08155,inf
"('84020', '84604')",1,84020,84604,33384.1884641,33384.1884641,inf
"('76015', '77301')",1,76015,77301,190631.512638,190631.512638,inf
"('91406', '92630')",1,91406,92630,94053.9902852,94053.9902852,inf
"('55406', '55408')",1,55406,55408,7961.2307154,7961.2307154,inf
"('46808', '46818')",1,46808,46818,8467.19091822,8467.19091822,inf
"('30117', '31206')",1,30117,31206,160200.258306,160200.258306,inf
"('53215', '53219')",4,53215,53219,5634.27002054,1408.56750513,4065.26670883
"('53711', '53715')",1,53711,53715,1055.76245743,1055.76245743,inf
"('46072', '50436')",1,46072,50436,845208.725602,845208.725602,inf
"('10954', '74429')",1,10954,74429,2401519.18996,2401519.18996,inf
"('43235', '90301')",1,43235,90301,3924959.70345,3924959.70345,inf
"('77054', '95054')",1,77054,95054,2959732.38144,2959732.38144,inf
"('63132', '76051')",1,63132,76051,744512.259405,744512.259405,inf
"('24201', '38555')",1,24201,38555,313577.364658,313577.364658,inf
"('11580', '90058')",1,11580,90058,4941587.07796,4941587.07796,inf
"('33016', '95117')",1,33016,95117,4612015.24313,4612015.24313,inf
"('47201', '70431')",1,47201,70431,441947.46016,441947.46016,inf
"('48187', '48188')",1,48187,48188,556.943319699,556.943319699,inf
"('84043', '95206')",1,84043,95206,1067907.24747,1067907.24747,inf
"('16354', '85258')",1,16354,85258,3571440.35681,3571440.35681,inf
"('78148', '78240')",1,78148,78240,34606.1129812,34606.1129812,inf
"('27520', '27527')",2,27520,27527,10625.5380152,5312.76900762,15330.4110014
"('84128', '90401')",1,84128,90401,782956.262414,782956.262414,inf
"('32608', '93033')",1,32608,93033,4080905.74804,4080905.74804,inf
"('70815', '70816')",1,70815,70816,4925.61227778,4925.61227778,inf
"('30354', '33155')",1,30354,33155,467122.75381,467122.75381,inf
"('11717', '33605')",1,11717,33605,1057686.59567,1057686.59567,inf
"('78236', '93033')",1,78236,93033,2285064.68262,2285064.68262,inf
"('13456', '43085')",1,13456,43085,864507.896867,864507.896867,inf
"('11232', '45011')",1,11232,45011,1166675.89628,1166675.89628,inf
"('74055', '85043')",1,74055,85043,1822208.63001,1822208.63001,inf
"('95826', '95827')",2,95826,95827,5984.67673484,2992.33836742,8635.06344667
"('60431', '60436')",1,60431,60436,5662.18826152,5662.18826152,inf
"('38119', '38120')",1,38119,38120,807.378627117,807.378627117,inf
"('44901', '65605')",1,44901,65605,1238631.55286,1238631.55286,inf
